sorteo,modo,fecha,aciertos,premio_total,ganadores,premio_por_ganador
2166,baloto,23/02/2022,3,$21.474.528,1.868,$11.50
2166,baloto,23/02/2022,2+SB,$17.150.299,1.747,$9.82
2166,baloto,23/02/2022,0+SB,$59.280.000,10.4,$5.70
2165,baloto,19/02/2022,5+SB,$0,0,$0
2165,baloto,19/02/2022,5,$0,0,$0
2165,baloto,19/02/2022,4+SB,$8.116.153,1,$8.116.153
2165,baloto,19/02/2022,4,$8.877.060,51,$174.06
2165,baloto,19/02/2022,3+SB,$7.693.484,148,$51.98
2165,baloto,19/02/2022,3,$25.110.346,2.146,$11.70
2165,baloto,19/02/2022,2+SB,$20.052.932,1.822,$11.01
2165,baloto,19/02/2022,0+SB,$62.625.900,10.987,$5.70
2164,baloto,16/02/2022,5+SB,$0,0,$0
2164,baloto,16/02/2022,5,$0,0,$0
2164,baloto,16/02/2022,4+SB,$6.874.194,2,$3.437.097
2164,baloto,16/02/2022,4,$7.518.636,54,$139.23
2164,baloto,16/02/2022,3+SB,$6.516.198,117,$55.69
2164,baloto,16/02/2022,3,$21.266.904,1.959,$10.86
2164,baloto,16/02/2022,2+SB,$16.984.605,1.303,$13.04
2164,baloto,16/02/2022,0+SB,$50.519.100,8.863,$5.70
2163,baloto,12/02/2022,5+SB,$0,0,$0
2163,baloto,12/02/2022,5,$0,0,$0
2163,baloto,12/02/2022,4+SB,$8.189.223,7,$1.169.889
2163,baloto,12/02/2022,4,$8.956.978,47,$190.57
2163,baloto,12/02/2022,3+SB,$7.762.720,145,$53.54
2163,baloto,12/02/2022,3,$25.336.532,2.551,$9.93
2163,baloto,12/02/2022,2+SB,$20.234.176,1.868,$10.83
2163,baloto,12/02/2022,0+SB,$58.909.500,10.335,$5.70
2162,baloto,09/02/2022,5+SB,$0,0,$0
2162,baloto,09/02/2022,5,$0,0,$0
2162,baloto,09/02/2022,4+SB,$6.968.184,4,$1.742.046
2162,baloto,09/02/2022,4,$7.621.450,50,$152.43
2162,baloto,09/02/2022,3+SB,$6.605.325,155,$42.62
2162,baloto,09/02/2022,3,$21.558.294,2.018,$10.68
2162,baloto,09/02/2022,2+SB,$17.217.640,1.795,$9.59
2162,baloto,09/02/2022,0+SB,$65.892.000,11.56,$5.70
2161,baloto,05/02/2022,5+SB,$0,0,$0
2161,baloto,05/02/2022,5,$0,0,$0
2161,baloto,05/02/2022,4+SB,$7.688.664,2,$3.844.332
2161,baloto,05/02/2022,4,$8.409.508,74,$113.64
2161,baloto,05/02/2022,3+SB,$7.288.193,121,$60.23
2161,baloto,05/02/2022,3,$23.786.027,2.419,$9.83
2161,baloto,05/02/2022,2+SB,$18.997.704,1.494,$12.72
2161,baloto,05/02/2022,0+SB,$50.388.000,8.84,$5.70
2160,baloto,02/02/2022,5+SB,$0,0,$0
2160,baloto,02/02/2022,5,$0,0,$0
2160,baloto,02/02/2022,4+SB,$7.325.115,5,$1.465.023
2160,baloto,02/02/2022,4,$8.011.860,67,$119.58
2160,baloto,02/02/2022,3+SB,$6.943.534,169,$41.09
2160,baloto,02/02/2022,3,$22.661.586,2.523,$8.98
2160,baloto,02/02/2022,2+SB,$18.098.442,2.094,$8.64
2160,baloto,02/02/2022,0+SB,$52.291.800,9.174,$5.70
2159,baloto,29/01/2022,5+SB,$0,0,$0
2159,baloto,29/01/2022,5,$40.316.226,2,$20.158.113
2159,baloto,29/01/2022,4+SB,$8.080.080,3,$2.693.360
2159,baloto,29/01/2022,4,$8.837.589,69,$128.08
2159,baloto,29/01/2022,3+SB,$7.659.300,150,$51.06
2159,baloto,29/01/2022,3,$24.996.962,2.734,$9.14
2159,baloto,29/01/2022,2+SB,$19.964.670,1.797,$11.11
2159,baloto,29/01/2022,0+SB,$52.434.300,9.199,$5.70
